SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 7,miami,10,1582,0.006321113,2.014903021,0.012736429
Southeast Article 7,not,10,1582,0.006321113,0.143100844,0.000904557
Southeast Article 8,post,10,680,0.014705882,1.609437912,0.023668205
Southeast Article 1,about,9,1932,0.004658385,0.310154928,0.001444821
Southeast Article 1,does,9,1932,0.004658385,0.916290732,0.004268435
Southeast Article 1,have,9,1932,0.004658385,0,0
Southeast Article 1,human,9,1932,0.004658385,0.916290732,0.004268435
Southeast Article 1,on,9,1932,0.004658385,0,0
Southeast Article 1,this,9,1932,0.004658385,0.068992871,0.000321395
Southeast Article 1,was,9,1932,0.004658385,0.143100844,0.000666619
Southeast Article 1,with,9,1932,0.004658385,0.223143551,0.001039489
Southeast Article 1,years,9,1932,0.004658385,0.510825624,0.002379622
Southeast Article 10,at,9,890,0.01011236,0,0
Southeast Article 10,we,9,890,0.01011236,0,0
Southeast Article 11,that,9,748,0.012032086,0,0
Southeast Article 12,be,9,1147,0.007846556,0,0
Southeast Article 12,for,9,1147,0.007846556,0,0
Southeast Article 12,other,9,1147,0.007846556,0.628608659,0.004932413
Southeast Article 13,scientist,9,913,0.009857612,1.098612289,0.010829694
Southeast Article 14,and,9,671,0.013412817,0,0
Southeast Article 15,much,9,1985,0.004534005,0.510825624,0.002316086
Southeast Article 15,people,9,1985,0.004534005,0.405465108,0.001838381
Southeast Article 2,in,9,700,0.012857143,0,0
Southeast Article 2,it,9,700,0.012857143,0,0
Southeast Article 2,not,9,700,0.012857143,0.143100844,0.001839868
Southeast Article 2,our,9,700,0.012857143,0.223143551,0.002868989
Southeast Article 3,climate,9,768,0.01171875,0,0
Southeast Article 3,francis,9,768,0.01171875,2.014903021,0.023612145
Southeast Article 3,is,9,768,0.01171875,0,0
Southeast Article 4,kriseman,9,1151,0.007819288,2.708050201,0.021175023
Southeast Article 4,mayor,9,1151,0.007819288,2.014903021,0.015755106
Southeast Article 4,parson,9,1151,0.007819288,2.708050201,0.021175023
Southeast Article 5,is,9,885,0.010169492,0,0
Southeast Article 5,it,9,885,0.010169492,0,0
Southeast Article 6,is,9,684,0.013157895,0,0
Southeast Article 6,will,9,684,0.013157895,0.310154928,0.004080986
Southeast Article 7,but,9,1582,0.005689001,0,0
Southeast Article 7,campaign,9,1582,0.005689001,2.014903021,0.011462786
Southeast Article 8,and,9,680,0.013235294,0,0
Southeast Article 9,this,9,680,0.013235294,0.068992871,0.000913141
Southeast Article 1,been,8,1932,0.004140787,0.310154928,0.001284285
Southeast Article 1,burned,8,1932,0.004140787,2.708050201,0.011213458
Southeast Article 1,hurricanes,8,1932,0.004140787,1.609437912,0.006664339
Southeast Article 1,will,8,1932,0.004140787,0.310154928,0.001284285
Southeast Article 10,it,8,890,0.008988764,0,0
Southeast Article 11,florida,8,748,0.010695187,0.916290732,0.009799901
Southeast Article 11,will,8,748,0.010695187,0.310154928,0.003317165
