NE_articles,word,n,total,tf,idf,tf_idf
Northeast Article 12,environment,4,2957,0.001352722,1.098612289,0.001486117
Northeast Article 12,european,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,fox,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,france,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,had,4,2957,0.001352722,0.916290732,0.001239487
Northeast Article 12,her,4,2957,0.001352722,2.014903021,0.002725604
Northeast Article 12,hope,4,2957,0.001352722,1.098612289,0.001486117
Northeast Article 12,india,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,italy,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,joint,4,2957,0.001352722,1.609437912,0.002177123
Northeast Article 12,million,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,modi,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,nation,4,2957,0.001352722,0.916290732,0.001239487
Northeast Article 12,new,4,2957,0.001352722,0.510825624,0.000691005
Northeast Article 12,now,4,2957,0.001352722,0.223143551,0.000301851
Northeast Article 12,official,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,our,4,2957,0.001352722,0.223143551,0.000301851
Northeast Article 12,planet,4,2957,0.001352722,0.628608659,0.000850333
Northeast Article 12,pullout,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,putin,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,spoke,4,2957,0.001352722,2.014903021,0.002725604
Northeast Article 12,take,4,2957,0.001352722,0.510825624,0.000691005
Northeast Article 12,they,4,2957,0.001352722,0.223143551,0.000301851
Northeast Article 12,those,4,2957,0.001352722,0.405465108,0.000548482
Northeast Article 12,thursday,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,tillerson,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,u.n,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,us,4,2957,0.001352722,0.628608659,0.000850333
Northeast Article 12,very,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,were,4,2957,0.001352722,0.510825624,0.000691005
Northeast Article 13,after,4,1826,0.002190581,0.628608659,0.001377018
Northeast Article 13,against,4,1826,0.002190581,0.916290732,0.002007209
Northeast Article 13,agenda,4,1826,0.002190581,2.708050201,0.005932202
Northeast Article 13,analysis,4,1826,0.002190581,2.014903021,0.004413807
Northeast Article 13,clean,4,1826,0.002190581,1.32175584,0.002895413
Northeast Article 13,commitments,4,1826,0.002190581,2.708050201,0.005932202
