"NE_articles","word","n","total","tf","idf","tf_idf"
"Northeast Article 4","and",8,283,0.0282685512367491,0,0
"Northeast Article 4","of",8,283,0.0282685512367491,0,0
"Northeast Article 5","are",8,1056,0.00757575757575758,0.143100843640673,0.00108409730030813
"Northeast Article 5","said",8,1056,0.00757575757575758,0.310154928303839,0.00234965854775636
"Northeast Article 5","this",8,1056,0.00757575757575758,0.143100843640673,0.00108409730030813
"Northeast Article 7","as",8,1230,0.00650406504065041,0.143100843640673,0.000930737194410883
"Northeast Article 7","but",8,1230,0.00650406504065041,0.22314355131421,0.00145134017114933
"Northeast Article 8","from",8,1018,0.00785854616895874,0.0689928714869514,0.000542183665909245
"Northeast Article 8","he",8,1018,0.00785854616895874,0.628608659422374,0.00493995017227799
"Northeast Article 8","we",8,1018,0.00785854616895874,0.143100843640673,0.00112456458656718
"Northeast Article 9","of",8,369,0.021680216802168,0,0
"Northeast Article 1","for",7,700,0.01,0.0689928714869514,0.000689928714869514
"Northeast Article 10","can",7,731,0.00957592339261286,0.22314355131421,0.00213680555294045
"Northeast Article 10","capital",7,731,0.00957592339261286,1.6094379124341,0.0154118541546357
"Northeast Article 10","emerging",7,731,0.00957592339261286,1.6094379124341,0.0154118541546357
"Northeast Article 10","finance",7,731,0.00957592339261286,1.32175583998232,0.0126570326674094
"Northeast Article 10","investment",7,731,0.00957592339261286,1.32175583998232,0.0126570326674094
"Northeast Article 11","they",7,1270,0.00551181102362205,0.22314355131421,0.00122992508598383
"Northeast Article 12","announcement",7,2957,0.00236726411903957,2.70805020110221,0.00641067007362715
"Northeast Article 12","germany",7,2957,0.00236726411903957,1.32175583998232,0.00312894517412115
"Northeast Article 12","have",7,2957,0.00236726411903957,0.0689928714869514,0.000163324349140568
"Northeast Article 12","international",7,2957,0.00236726411903957,0.628608659422374,0.00148808272436815
"Northeast Article 12","its",7,2957,0.00236726411903957,0.310154928303839,0.000734218633116969
"Northeast Article 12","minister",7,2957,0.00236726411903957,1.6094379124341,0.00380996462192719
"Northeast Article 12","one",7,2957,0.00236726411903957,0.405465108108164,0.000959843001946957
"Northeast Article 12","withdraw",7,2957,0.00236726411903957,2.70805020110221,0.00641067007362715
"Northeast Article 12","world",7,2957,0.00236726411903957,0.310154928303839,0.000734218633116969
"Northeast Article 13","2100",7,1929,0.00362882322446864,1.6094379124341,0.00584036567498118
"Northeast Article 13","all",7,1929,0.00362882322446864,0.405465108108164,0.00147136120101459
"Northeast Article 13","from",7,1929,0.00362882322446864,0.0689928714869514,0.000250362934374629
